Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Armor2.0,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Torobatl Celebration Mask,64566999,"""6917529611074207623""",,Legendary,Helmet,tangled,Titan,1350,,Stasis Cost,2,Titan(1373),true,false,true,4,12,,10,13,2,15,7,7,54,0,10,13,2,15,7,7,54,0,combatstyle,,Upgrade Armor*,*,*,*,*,Meridian Constellation Helm*,,,,,
Citan's Ramparts,1190497097,"""6917529551855429034""",,Exotic,Gauntlets,,Titan,1350,,Void Energy Capacity,1,Titan(1373),true,false,true,3,10,,2,14,15,2,16,13,62,0,2,14,15,2,16,13,62,0,combatstyle,,Mercury Vex Chrome*,Change Energy Type*,*,*,*,*,Assault Barricade*,,,,
Devastation Complex,385985080,"""6917529558308460334""",,Legendary,Chest Armor,legendaryengram,Titan,1350,,Void Energy Capacity,1,Titan(1373),true,false,true,4,15,,13,7,9,6,12,6,53,0,13,7,9,6,12,6,53,0,combatstyle,,Atmospheric Glow*,Change Energy Type*,*,*,*,*,,,,,
Mimetic Savior Greaves,4293588774,"""6917529545587457770""",,Legendary,Leg Armor,legendaryengram,Titan,1350,,Arc Energy Capacity,2,Titan(1373),true,false,true,4,13,,11,2,11,2,10,12,48,0,11,2,11,2,10,12,48,0,combatstyle,,Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Anti-Extinction Greaves*,,,,
Iron Forerunner Mark,3591512190,"""6917529551867020407""",,Legendary,Titan Mark,ironbanner,Titan,1350,,Arc Energy Capacity,3,Titan(1373),true,false,true,4,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Golden Trace*,Upgrade Armor*,Iron Lord's Pride*,,,,,,,,
Doom Fang Pauldron,241462141,"""6917529635912085860""",,Exotic,Gauntlets,,Titan,1360,,Void Energy Capacity,1,Vault,true,false,false,1,1,,10,7,7,6,6,12,48,0,10,7,7,6,6,12,48,0,combatstyle,,Change Energy Type*,*,*,*,*,Horns of Doom*,,,,,
Nezarec's Sin,3381022971,"""6917529732441469260""",,Exotic,Helmet,,Warlock,1514,,Void Energy Capacity,1,Vault,true,false,false,1,1,,7,13,15,26,2,6,69,0,7,13,15,26,2,6,69,0,combatstyle,,Change Energy Type*,*,*,*,*,Abyssal Extractors*,,,,,
Mk. 44 Stand Asides,136355432,"""6917529732452673074""",,Exotic,Leg Armor,,Titan,1515,,Void Energy Capacity,1,Vault,true,false,false,1,2,,27,3,6,7,16,9,68,0,27,3,6,7,16,9,68,0,combatstyle,,Change Energy Type*,*,*,*,*,"Seriously, Watch Out*",,,,,
Mythos Hack 4.1,1045948748,"""6917529770823170786""",,Rare,Gauntlets,campaign,Hunter,1538,,Arc Energy Capacity,5,Vault,true,false,false,2,4,,6,2,16,11,2,10,47,0,6,2,16,11,2,10,47,0,,,Metallic Sunset*,Upgrade Armor*,*,*,*,*,,,,,
Airhead Hood,2751794833,"""6917529666032315813""",,Legendary,Hunter Cloak,,Hunter,1505,,Void Energy Capacity,5,Vault,true,true,false,4,12,,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,combatstyle,,Minor Resilience Mod*,Perpetuation*,Perpetuation*,Byzantium Lotus*,Upgrade Armor*,Meridian Constellation Cloak*,,,,,
Iron Forerunner Cloak,4266736482,"""6917529745656015624""",,Legendary,Hunter Cloak,ironbanner,Hunter,1526,,Solar Energy Capacity,2,Vault,true,true,false,4,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Upgrade Armor*,Iron Lord's Pride*,,,,,,,,,
Icarus Drifter Cape,1153347999,"""6917529709624984529""",,Legendary,Hunter Cloak,legendaryengram,Hunter,1510,,Stasis Cost,2,Vault,true,true,false,3,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Upgrade Armor*,,,,,,,,,,
War Mantis,803939997,"""6917529770778117996""",,Rare,Gauntlets,campaign,Hunter,1540,,Solar Energy Capacity,5,Vault,true,false,false,2,4,,29,8,13,0,0,0,50,0,29,8,13,0,0,0,50,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Iron Forerunner Mask,2255073244,"""6917529748735295032""",infuse,Legendary,Helmet,ironbanner,Hunter,1528,,Arc Energy Capacity,5,Vault,true,false,false,4,15,,21,8,2,7,7,16,61,0,21,8,2,7,7,16,61,0,combatstyle,,Upgrade Armor*,*,*,*,*,Iron Lord's Pride*,,,,,
Frumious Mask,477057676,"""6917529740252221540""",junk,Legendary,Helmet,campaign,Hunter,1513,,Void Energy Capacity,4,Vault,true,false,false,4,12,,2,6,19,2,20,6,55,0,2,6,19,2,20,6,55,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Sealed Ahamkara Grasps,1688602431,"""6917529517866934574""",,Exotic,Gauntlets,,Hunter,1350,,Arc Energy Capacity,2,Vault,true,true,false,1,3,,16,17,2,12,17,2,66,0,16,17,2,12,17,2,66,0,combatstyle,,Upgrade Armor*,*,*,*,*,Nightmare Fuel*,,,,,
Icarus Drifter Vest,1399263478,"""6917529756888435506""",junk,Legendary,Chest Armor,legendaryengram,Hunter,1530,,Void Energy Capacity,1,Vault,true,false,false,3,11,,6,7,12,6,7,13,51,0,6,7,12,6,7,13,51,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Aeon Safe,1654461647,"""6917529602243028633""",,Exotic,Gauntlets,,Titan,1350,,Arc Energy Capacity,1,Vault,true,false,false,1,2,,14,4,16,13,10,6,63,0,14,4,16,13,10,6,63,0,combatstyle,,Change Energy Type*,*,*,*,*,Sect of Force*,,,,,
Road Complex AA1,3959529854,"""6917529756899136508""",,Legendary,Leg Armor,legendaryengram,Hunter,1538,,Stasis Cost,1,Vault,true,false,false,4,15,,10,10,2,7,6,11,46,0,10,10,2,7,6,11,46,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Frumious Strides,20158663,"""6917529748344138091""",,Legendary,Leg Armor,ikora,Hunter,1526,,Solar Energy Capacity,4,Vault,true,false,false,4,12,,11,8,8,2,12,13,54,0,11,8,8,2,12,13,54,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Insight Rover Mask,2298664693,"""6917529748451293214""",junk,Legendary,Helmet,legendaryengram,Hunter,1527,,Void Energy Capacity,3,Vault,true,false,false,3,11,,11,6,6,11,7,7,48,0,11,6,6,11,7,7,48,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Shadow Specter,4230626646,"""6917529755661545714""",,Rare,Leg Armor,campaign,Hunter,1534,,Solar Energy Capacity,5,Vault,true,false,false,2,4,,6,6,12,16,7,2,49,0,6,6,12,16,7,2,49,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Prodigal Cloak,3356846604,"""6917529755714137895""",,Legendary,Hunter Cloak,legendaryengram,Hunter,1540,,Stasis Cost,1,Vault,true,false,false,4,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Change Energy Type*,,,,,,,,,,
Felwinter's Helm,2822465023,"""6917529740290158055""",,Exotic,Helmet,,Warlock,1516,,Void Energy Capacity,1,Vault,true,false,false,3,10,,16,8,9,2,12,14,61,0,16,8,9,2,12,14,61,0,combatstyle,,Change Energy Type*,*,*,*,*,Warlord's End*,,,,,
Verity's Brow,2428181146,"""6917529758410553007""",,Exotic,Helmet,,Warlock,1539,,Solar Energy Capacity,1,Vault,true,false,false,1,3,,16,7,9,19,2,7,60,0,16,7,9,19,2,7,60,0,combatstyle,,Change Energy Type*,*,*,*,*,The Fourth Magic*,,,,,
Clutch Extol Grips,597831725,"""6917529745606859542""",favorite,Legendary,Gauntlets,crucible,Hunter,1521,,Void Energy Capacity,5,Vault,true,true,false,5,16,,21,6,2,2,20,10,61,0,21,6,2,2,20,10,61,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Gensym Knight Helm,1447990748,"""6917529602476529863""",,Legendary,Helmet,,Titan,1350,,Void Energy Capacity,1,Vault,true,false,false,4,15,,8,9,15,2,16,9,59,0,8,9,15,2,16,9,59,0,combatstyle,,Rosescale*,Change Energy Type*,*,*,*,*,,,,,
Iron Forerunner Grips,3651424085,"""6917529745631552597""",keep,Legendary,Gauntlets,ironbanner,Hunter,1518,,Void Energy Capacity,2,Vault,true,true,false,4,15,,12,19,2,10,14,6,63,0,12,19,2,10,14,6,63,0,combatstyle,,Gloamstrife*,Upgrade Armor*,*,*,*,*,Iron Lord's Pride*,,,,
Insight Rover Vest,2808379196,"""6917529740245722492""",junk,Legendary,Chest Armor,legendaryengram,Hunter,1521,,Arc Energy Capacity,2,Vault,true,false,false,3,11,,11,2,11,10,8,7,49,0,11,2,11,10,8,7,49,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Iron Forerunner Gauntlets,3570243433,"""6917529551871471126""",,Legendary,Gauntlets,ironbanner,Titan,1350,,Void Energy Capacity,2,Vault,true,false,false,4,15,,16,6,6,6,20,6,60,0,16,6,6,6,20,6,60,0,combatstyle,,Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Lost Pacific Gauntlets*,Iron Lord's Pride*,,,
Insight Rover Vest,2808379196,"""6917529740277233196""",junk,Legendary,Chest Armor,legendaryengram,Hunter,1517,,Void Energy Capacity,1,Vault,true,false,false,3,11,,12,13,2,13,6,7,53,0,12,13,2,13,6,7,53,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Apotheosis Veil,1096253259,"""6917529528838833482""",,Exotic,Helmet,,Warlock,1350,,Arc Energy Capacity,1,Vault,true,false,false,1,3,,6,17,9,9,13,7,61,0,6,17,9,9,13,7,61,0,combatstyle,,Change Energy Type*,*,*,*,*,Insatiable*,,,,,
Skull of Dire Ahamkara,1030017949,"""6917529551859196869""",,Exotic,Helmet,,Warlock,1350,,Arc Energy Capacity,1,Vault,true,false,false,1,1,,7,15,10,13,14,2,61,0,7,15,10,13,14,2,61,0,combatstyle,,Change Energy Type*,*,*,*,*,Actual Grandeur*,,,,,
Claws of Ahamkara,3288917178,"""6917529584137325850""",,Exotic,Gauntlets,,Warlock,1350,,Arc Energy Capacity,1,Vault,true,false,false,1,3,,6,19,8,2,7,20,62,0,6,19,8,2,7,20,62,0,combatstyle,,Change Energy Type*,*,*,*,*,The Whispers*,,,,,
Ophidian Aspect,3627185503,"""6917529575107871861""",,Exotic,Gauntlets,,Warlock,1350,,Arc Energy Capacity,1,Vault,true,false,false,1,2,,3,22,7,2,20,12,66,0,3,22,7,2,20,12,66,0,combatstyle,,Change Energy Type*,*,*,*,*,Cobra Totemic*,,,,,
Sunbracers,3787517196,"""6917529570810227454""",,Exotic,Gauntlets,,Warlock,1350,,Solar Energy Capacity,1,Vault,true,false,false,1,1,,17,2,13,9,12,10,63,0,17,2,13,9,12,10,63,0,combatstyle,,Change Energy Type*,*,*,*,*,Helium Spirals*,,,,,
Clutch Extol Cloak,921467658,"""6917529748722437473""",,Legendary,Hunter Cloak,crucible,Hunter,1530,,Stasis Cost,2,Vault,true,true,false,5,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Upgrade Armor*,,,,,,,,,,
Karnstein Armlets,3844826440,"""6917529519856950063""",,Exotic,Gauntlets,,Warlock,1350,,Void Energy Capacity,1,Vault,true,false,false,1,1,,12,10,10,17,9,2,60,0,12,10,10,17,9,2,60,0,combatstyle,,Clouds at Sea*,Change Energy Type*,*,*,*,*,Vampire's Caress*,,,,
Vesper of Radius,1725917554,"""6917529582213237507""",,Exotic,Chest Armor,,Warlock,1350,,Arc Energy Capacity,1,Vault,true,false,false,1,2,,2,10,22,16,12,2,64,0,2,10,22,16,12,2,64,0,combatstyle,,Wicked Overgrowth*,Change Energy Type*,*,*,*,*,Planetary Torrent*,,,,
Lightkin Gauntlets,3399325807,"""6917529676263360056""",,Legendary,Gauntlets,servitor,Titan,1350,,Arc Energy Capacity,1,Vault,true,false,false,4,14,,6,6,10,12,6,6,46,0,6,6,10,12,6,6,46,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Heart of Inmost Light,1341951177,"""6917529740290152863""",,Exotic,Chest Armor,,Titan,1519,,Arc Energy Capacity,1,Vault,true,false,false,2,4,,4,14,17,2,14,14,65,0,4,14,17,2,14,14,65,0,combatstyle,,Change Energy Type*,*,*,*,*,Overflowing Light*,,,,,
Phoenix Protocol,4057299719,"""6917529602243030396""",,Exotic,Chest Armor,,Warlock,1350,,Solar Energy Capacity,1,Vault,true,false,false,2,4,,14,10,10,8,22,2,66,0,14,10,10,8,22,2,66,0,combatstyle,,Change Energy Type*,*,*,*,*,Battle-Hearth*,,,,,
Transversive Steps,138282166,"""6917529507256552025""",,Exotic,Leg Armor,,Warlock,1350,,Arc Energy Capacity,1,Vault,true,false,false,1,1,,17,12,3,16,7,6,61,0,17,12,3,16,7,6,61,0,combatstyle,,Change Energy Type*,*,*,*,*,Strange Protractor*,,,,,
Lunafaction Boots,4136768282,"""6917529558249004963""",,Exotic,Leg Armor,,Warlock,1350,,Solar Energy Capacity,1,Vault,true,false,false,1,1,,12,7,15,2,20,12,68,0,12,7,15,2,20,12,68,0,combatstyle,,Change Energy Type*,*,*,*,*,Alchemical Etchings*,,,,,
An Insurmountable Skullfort,3216110440,"""6917529542785019309""",,Exotic,Helmet,,Titan,1350,,Arc Energy Capacity,1,Vault,true,false,false,1,1,,21,7,3,10,2,20,63,0,21,7,3,10,2,20,63,0,combatstyle,,Change Energy Type*,*,*,*,*,Transfusion Matrix*,,,,,
Khepri's Sting,2757274117,"""6917529740721591927""",,Exotic,Gauntlets,,Hunter,1519,,Arc Energy Capacity,3,Vault,true,false,false,2,7,,14,3,18,2,15,14,66,0,14,3,18,2,15,14,66,0,combatstyle,,Upgrade Armor*,*,*,*,*,Touch of Venom*,,,,,
Mark of the Unassailable,3207244009,"""6917529610845121742""",,Legendary,Titan Mark,legendaryengram,Titan,1350,,Solar Energy Capacity,3,Vault,true,false,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Upgrade Armor*,,,,,,,,,,
Iron Forerunner Grips,3651424085,"""6917529748608151934""",favorite,Legendary,Gauntlets,ironbanner,Hunter,1528,,Stasis Cost,1,Vault,true,false,false,4,15,,8,10,10,24,2,8,62,0,8,10,10,19,2,8,57,0,combatstyle,,Minor Discipline Mod*,Change Energy Type*,*,*,*,*,Iron Lord's Pride*,,,,
Armamentarium,3874247549,"""6917529582207739966""",,Exotic,Chest Armor,,Titan,1350,,Arc Energy Capacity,1,Vault,true,false,false,1,3,,10,12,12,11,2,20,67,0,10,12,12,11,2,20,67,0,combatstyle,,Change Energy Type*,*,*,*,*,And Another Thing*,,,,,
Severance Enclosure,2326396534,"""6917529546514960726""",,Exotic,Chest Armor,,Titan,1350,,Void Energy Capacity,1,Vault,true,false,false,3,9,,2,28,2,8,9,15,64,0,2,28,2,8,9,15,64,0,combatstyle,,Change Energy Type*,*,*,*,*,Spheromatik Trigger*,,,,,
Iron Forerunner Grips,3651424085,"""6917529745612202727""",favorite,Legendary,Gauntlets,ironbanner,Hunter,1518,,Stasis Cost,4,Vault,true,true,false,4,15,,14,2,16,16,13,2,63,0,14,2,16,16,13,2,63,0,combatstyle,,Upgrade Armor*,*,*,*,*,Iron Lord's Pride*,,,,,
Lion Rampant,3539357318,"""6917529558255637721""",,Exotic,Leg Armor,,Titan,1350,,Arc Energy Capacity,1,Vault,true,false,false,1,1,,10,16,6,16,13,2,63,0,10,16,6,16,13,2,63,0,combatstyle,,Change Energy Type*,*,*,*,*,Jump Jets*,,,,,
Antaeus Wards,2423243921,"""6917529519851152360""",,Exotic,Leg Armor,,Titan,1350,,Void Energy Capacity,1,Vault,true,false,false,2,4,,8,19,3,7,2,20,59,0,8,19,3,7,2,20,59,0,combatstyle,,Arctic Pearl*,Change Energy Type*,*,*,*,*,Reflective Vents*,,,,
Iron Forerunner Grips,3651424085,"""6917529745667625968""",keep,Legendary,Gauntlets,ironbanner,Hunter,1521,,Solar Energy Capacity,1,Vault,true,false,false,4,15,,2,7,23,12,10,12,66,0,2,7,23,12,10,12,66,0,combatstyle,,Change Energy Type*,*,*,*,*,Iron Lord's Pride*,,,,,
Frumious Grips,3967899461,"""6917529749869172009""",junk,Legendary,Gauntlets,ikora,Hunter,1534,,Void Energy Capacity,1,Vault,true,false,false,4,12,,8,8,12,15,7,7,57,0,8,8,12,15,7,7,57,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
