Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Equip,Charge Time,Draw Time,Accuracy,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15
Quickfang,2782325300,"""6917529593021634566""",,Legendary,Sword,legendaryengram,Power,Void,1533,,Impact,10,Hunter(1535),true,false,4,14,,0,0,65,0,0,0,0,0,0,0,76,0,0,0,0,,Lightweight Frame*,Hungry Edge,Jagged Edge,Tempered Edge*,Swordmaster's Guard*,Tireless Blade*,Assassin's Blade*,Chalco's Finery*,Quick Access Sling*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,*,,
Thermal Erosion,1766088024,"""6917529791407403063""",,Legendary,Machine Gun,campaign,Power,Solar,1554,,Handling,2,Hunter(1535),false,false,4,12,,80,66,25,26,16,0,0,31,900,61,77,60,0,0,0,,Rapid-Fire Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Appended Mag*,Armor-Piercing Rounds,Hip-Fire Grip*,Wellspring*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
The Wardcliff Coil,1508896098,"""6917529551859192469""",,Exotic,Rocket Launcher,,Power,Arc,1547,,,10,Hunter(1535),false,false,1,1,,60,80,0,0,15,25,95,55,60,30,1,80,0,0,0,,Mad Scientist*,Volatile Launch*,Extended Mag*,Mechanized Autoloader*,Composite Stock*,Wardcliff Coil Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Riptide,2715240478,"""6917529790959294532""",,Legendary,Fusion Rifle,crucible,KineticSlot,Stasis,1553,,Handling,5,Hunter(1535),false,false,5,17,,53,31,50,36,15,0,0,21,0,45,7,50,500,0,0,,Rapid-Fire Frame*,Full Bore*,Smallbore,Accelerated Coils*,Particle Repeater,Well-Rounded*,Vorpal Weapon*,Tier 5 Weapon*,One Quiet Moment*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Deepsight Resonance*,,,
Crisis Inverted,2888266564,"""6917529790967088814""",,Legendary,Hand Cannon,crucible,Energy,Arc,1551,,Range,4,Hunter(1535),false,false,5,16,,100,83,84,59,14,0,0,50,140,60,10,45,0,0,0,,Adaptive Frame*,Extended Barrel*,Hammer-Forged Rifling,Armor-Piercing Rounds*,High-Caliber Rounds,Moving Target*,Rangefinder*,Tier 4 Weapon*,One Quiet Moment*,Omolon Fluid Dynamics,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Riptide,2715240478,"""6917529790949319875""",,Legendary,Fusion Rifle,crucible,KineticSlot,Stasis,1552,,Range,1,Hunter(1535),false,false,5,17,,63,31,55,32,15,0,0,31,0,25,8,40,500,0,0,,Rapid-Fire Frame*,Extended Barrel*,Full Bore,Ionized Battery*,Particle Repeater,Lead from Gold*,Wellspring*,Tier 1 Weapon*,One Quiet Moment*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Riptide,2715240478,"""6917529790959298526""",,Legendary,Fusion Rifle,crucible,KineticSlot,Stasis,1551,,Range,5,Hunter(1535),false,false,5,17,,63,31,50,26,15,0,0,41,0,45,7,45,500,0,0,,Rapid-Fire Frame*,Chambered Compensator*,Hammer-Forged Rifling,Accelerated Coils*,Particle Repeater,Feeding Frenzy*,Cornered*,Tier 5 Weapon*,One Quiet Moment*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Tongeren-LR3,4157959956,"""6917529790990712191""",,Rare,Sniper Rifle,campaign,Energy,Arc,1552,,,,Hunter(1535),false,false,2,4,,48,66,55,40,55,0,0,41,140,52,5,62,0,0,0,,Rapid-Fire Frame*,Longview SLR20*,Longview SLR10,Ricochet Rounds*,Field Prep*,,,,,,,,,,,
Perses-D,1019000888,"""6917529791400863095""",,Legendary,Scout Rifle,legendaryengram,KineticSlot,Stasis,1553,,Range,1,Hunter(1535),false,false,5,16,,74,36,67,94,22,0,0,12,150,33,14,26,0,0,0,,High-Impact Frame*,Full Bore*,Polygonal Rifling,Accurized Rounds*,Flared Magwell,Stats for All*,Explosive Payload*,Tier 1 Weapon*,Hakke Breach Armaments*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
BxR-55 Battler,2708806099,"""6917529790920012857""",,Legendary,Pulse Rifle,30th,Energy,Solar,1549,,Stability,1,Hunter(1535),false,false,4,15,,80,85,23,45,20,0,0,85,450,63,35,66,0,0,0,,Legacy PR-55 Frame*,Chambered Compensator*,Full Bore,Steady Rounds*,Flared Magwell,Snapshot Sights*,Blunt Execution Rounds*,Tier 1 Weapon*,Kill Tracker*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Empty Memento Socket*,*,,
Spoiler Alert,2588048270,"""6917529481387347456""",favorite,Legendary,Sidearm,legendaryengram,KineticSlot,Kinetic,1540,,Stability,10,Hunter(1535),true,true,4,15,,87,70,43,25,12,0,0,45,360,51,15,60,0,0,0,,Lightweight Frame*,QuickDot SAS,Target SAS*,Alloy Magazine,Appended Mag*,Killing Wind*,Unrelenting*,Mercury Vex Chrome*,Full Auto Retrofit*,Masterwork*,Tracker Disabled,Kill Tracker*,Crucible Tracker,*,,
Chrysura Melo,1337707096,"""6917529547758014717""",,Legendary,Auto Rifle,seasonpass,Energy,Solar,1545,,Handling,5,Hunter(1535),false,true,4,15,,86,58,33,78,16,0,0,23,360,40,34,40,0,0,0,,High-Impact Frame*,Corkscrew Rifling*,Polygonal Rifling,Tactical Mag*,Alloy Magazine,Dynamic Sway Reduction*,Dragonfly*,Tier 5 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Thunderlord,3325463374,"""6917529667963316776""",,Exotic,Machine Gun,,Power,Arc,1508,,,,Hunter(1535),false,true,2,4,Festival of the Lost,70,90,41,65,15,0,0,60,450,68,62,60,0,0,0,,Reign Havoc*,Polygonal Rifling*,Armor-Piercing Rounds*,Lightning Rounds*,Feeding Frenzy*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
Horror Story,3829285960,"""6917529519983785092""",,Legendary,Auto Rifle,events,KineticSlot,Kinetic,1350,,Range,2,Titan(1373),true,false,3,11,Festival of the Lost,73,35,29,81,22,0,0,40,450,41,32,26,0,0,0,,Precision Frame*,Rifle Scope ST*,Cleanshot IS,Accurized Rounds*,Flared Magwell,Subsistence*,Snapshot Sights*,Distant Earth*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
The Steady Hand,2220884262,"""6917529461962782978""",keep,Legendary,Hand Cannon,ironbanner,KineticSlot,Kinetic,1350,,Range,2,Titan(1373),true,false,4,12,,85,90,92,37,14,0,0,35,120,20,8,30,0,0,0,,Aggressive Frame*,SteadyHand HCS*,Crossfire HCS,Armor-Piercing Rounds*,High-Caliber Rounds,Moving Target*,Iron Gaze*,Always North*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
BrayTech Werewolf,528834068,"""6917529513940892703""",favorite,Legendary,Auto Rifle,events,KineticSlot,Kinetic,1350,,Reload Speed,5,Titan(1373),true,true,3,11,Festival of the Lost,84,47,29,79,16,0,0,41,450,47,38,29,0,0,0,,Precision Frame*,Extended Barrel*,Fluted Barrel,Appended Mag*,Flared Magwell,Dynamic Sway Reduction*,Unrelenting*,Tier 5 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
The Number,2492081469,"""6917529610833292898""",,Legendary,Auto Rifle,legendaryengram,Energy,Arc,1350,,Handling,1,Titan(1373),false,true,4,14,,70,44,29,55,20,0,0,50,450,36,33,37,0,0,0,,Precision Frame*,Polygonal Rifling*,Smallbore,Armor-Piercing Rounds*,Flared Magwell,Threat Detector*,One for All*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Abide the Return,1644160541,"""6917529656868307397""",,Legendary,Sword,dreaming,Power,Solar,1500,,Impact,4,Titan(1373),false,true,4,14,,0,0,64,0,0,0,0,0,0,0,60,0,0,0,0,,Adaptive Frame*,Honed Edge*,Jagged Edge,Burst Guard*,Swordmaster's Guard,Tireless Blade*,Thresh*,Burnished Dreams*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Gnawing Hunger,821154603,"""6917529435256972326""",,Legendary,Auto Rifle,gambitprime,Energy,Void,1350,,Stability,2,Vault,false,false,3,11,,54,65,21,55,16,0,0,57,600,67,46,63,0,0,0,,Adaptive Frame*,Extended Barrel,Smallbore*,Tactical Mag*,Flared Magwell,Zen Moment*,Demolitionist*,Grayscale Undergrowth*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
BxR-55 Battler,2708806099,"""6917529749832661090""",,Legendary,Pulse Rifle,30th,Energy,Solar,1534,,Handling,5,Vault,false,false,4,15,,100,85,23,45,20,0,0,74,450,63,35,86,0,0,0,,Legacy PR-55 Frame*,Arrowhead Brake*,Extended Barrel,Steady Rounds*,Ricochet Rounds,Auto-Loading Holster*,Rangefinder*,Gloamstrife*,Tier 5 Weapon*,Tracker Disabled*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Empty Memento Socket*,*,
Archon's Thunder,1967303408,"""6917529461991140605""",,Legendary,Machine Gun,ironbanner,Power,Solar,1350,,Handling,5,Vault,false,false,4,14,,76,27,70,69,16,0,0,27,360,43,48,43,0,0,0,,High-Impact Frame*,Corkscrew Rifling*,Polygonal Rifling,Tactical Mag*,Flared Magwell,Field Prep*,Thresh*,Tier 5 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Posterity,3281285075,"""6917529612596836087""",,Legendary,Hand Cannon,deepstonecrypt,Energy,Arc,1350,,Reload Speed,3,Vault,false,false,4,12,,100,79,78,44,14,0,0,65,180,60,16,41,0,0,0,,Precision Frame*,Corkscrew Rifling*,Polygonal Rifling,Appended Mag*,Tactical Mag,Killing Wind*,Redirection*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Telesto,2208405142,"""6917529602243024799""",,Exotic,Fusion Rifle,,Energy,Void,1350,,,10,Vault,false,false,1,2,,66,46,85,35,20,0,0,79,0,80,4,62,820,0,0,,Unplanned Reprieve*,Projection Fuse*,Harbinger's Pulse*,Polymer Grip*,Telesto Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,,
The Guiding Sight,1641430382,"""6917529461991132175""",,Legendary,Scout Rifle,ironbanner,KineticSlot,Kinetic,1350,,Range,3,Vault,false,false,4,12,,75,30,67,74,23,0,0,24,150,36,15,37,0,0,0,,High-Impact Frame*,Red Dot 2 MOA*,Red Dot Micro,Appended Mag*,Light Mag,Rapid Hit*,One for All*,Always North*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Retrofuturist,1402766122,"""6917529558235874614""",,Legendary,Shotgun,legendaryengram,Energy,Void,1350,,Range,1,Vault,false,false,4,13,,55,50,65,51,12,0,0,51,90,56,7,50,0,0,0,,Lightweight Frame*,Rifled Barrel*,Smoothbore,Assault Mag*,Accurized Rounds,Feeding Frenzy*,Unrelenting*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Sorrow's Verse,2496875173,"""6917529571043763646""",,Legendary,Auto Rifle,crucible,Energy,Arc,1350,,Stability,3,Vault,false,false,4,15,,53,68,21,59,16,0,0,42,600,58,41,69,0,0,0,,Adaptive Frame*,Corkscrew Rifling*,Extended Barrel,Accurized Rounds*,Extended Mag,Killing Wind*,Wellspring*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Ragnhild-D,4225322581,"""6917529709624982624""",,Legendary,Shotgun,legendaryengram,KineticSlot,Kinetic,1529,,Stability,1,Vault,false,false,5,16,,64,38,80,38,12,0,0,35,55,43,6,15,0,0,0,,Aggressive Frame*,Rifled Barrel*,Smoothbore,Tactical Mag*,Extended Mag,Perpetual Motion*,Elemental Capacitor*,Tier 1 Weapon*,Hakke Breach Armaments*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,*,,,
Trinity Ghoul,814876685,"""6917529533938582994""",,Exotic,Combat Bow,,Energy,Arc,1499,,"Charge Time, Draw Time",10,Vault,false,false,2,4,,77,74,80,0,18,0,0,45,0,60,0,63,0,648,95,,Split Electron*,High Tension String*,Compact Arrow Shaft*,Lightning Rod*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Trinity Ghoul Catalyst*,,,,,,,,
Crimson,3437746471,"""6917529789853415568""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1547,,,10,Vault,false,false,1,2,,55,75,92,72,14,0,0,97,415,60,14,35,0,0,0,,Banned Weapon*,Smallbore*,Accurized Rounds*,Cruel Remedy*,Heavy Grip*,Crimson Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Frontier's Cry,1141547457,"""6917529748366705430""",,Legendary,Hand Cannon,ironbanner,Energy,Solar,1527,,Range,1,Vault,false,false,5,16,,100,75,78,63,14,0,0,39,180,47,16,36,0,0,0,,Precision Frame*,Chambered Compensator*,Full Bore,Appended Mag*,Steady Rounds,Steady Hands*,Iron Reach*,Amrita's Dream*,Tier 1 Weapon*,Skulking Wolf*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Borrowed Time,875848769,"""6917529570871286052""",,Legendary,Submachine Gun,drifter,Energy,Solar,1350,,Reload Speed,5,Vault,false,false,4,14,,92,38,22,42,15,0,0,28,750,27,26,47,0,0,0,,Aggressive Frame*,Chambered Compensator*,Hammer-Forged Rifling,High-Caliber Rounds*,Light Mag,Killing Wind*,Rampage*,Tier 5 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Atalanta-D,2414612777,"""6917529652135398139""",keep,Legendary,Submachine Gun,nessus,KineticSlot,Kinetic,1350,1060,,,Vault,false,false,1,2,,82,54,25,49,13,0,0,39,600,0,30,36,0,0,0,,Precision Frame*,GA Post*,SD Thermal,Extended Mag*,Steady Rounds,Tap the Trigger*,Kinetic Damage Mod*,Grayscale Undergrowth*,Masterwork Upgrade*,,,,,,,
Snorri FR5,4114929480,"""6917529758355432615""",,Legendary,Fusion Rifle,legendaryengram,Energy,Void,1536,,Range,3,Vault,false,false,5,16,,79,62,85,74,17,0,0,50,0,33,6,37,780,0,0,,Precision Frame*,Hammer-Forged Rifling*,Smallbore,Liquid Coils*,Particle Repeater,Surplus*,Frenzy*,Tier 3 Weapon*,Omolon Fluid Dynamics*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
False Promises,3143732432,"""6917529441638901657""",favorite,Legendary,Auto Rifle,contact,KineticSlot,Kinetic,1529,,Reload Speed,4,Vault,true,false,3,11,,100,52,33,77,20,0,0,17,360,52,32,45,0,0,0,,High-Impact Frame*,Arrowhead Brake*,Extended Barrel,Ricochet Rounds,Light Mag*,Overflow*,Swashbuckler*,Midnight Talons*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Royal Entry,2448907086,"""6917529745560439383""",,Legendary,Rocket Launcher,strikes,Power,Void,1527,,Reload Speed,2,Vault,false,false,4,13,,75,65,0,0,20,30,51,39,15,61,1,57,0,0,0,,Precision Frame*,Quick Launch*,Smart Drift Control,Alloy Casing*,High-Velocity Rounds,Threat Detector*,Thresh*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Witherhoard,2357297366,"""6917529498954198151""",keep,Exotic,Grenade Launcher,seasonpass,KineticSlot,Kinetic,1350,,,,Vault,false,false,3,11,,100,84,0,0,12,5,12,68,90,33,6,63,0,0,0,,Primeval's Torment*,Countermass*,Black Powder*,Break the Bank*,Composite Stock*,Cedar and Ash*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,
The Chaperone,3413860062,"""6917529499735938973""",,Exotic,Shotgun,,KineticSlot,Kinetic,1350,,,,Vault,false,false,2,4,,50,70,75,100,12,0,0,30,70,30,6,80,0,0,0,,Precision Slug*,Hammer-Forged Rifling*,Accurized Rounds*,The Roadborn*,Hand-Laid Stock*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
